PBD3,,PBD3GPP,
X,Y,X,Y
2.194543298,5.792775665,2.227878788,5.403846154
2.431791222,5.840304183,2.431515152,5.355769231
2.697508897,5.878326996,2.712727273,5.317307692
2.925266904,5.925855513,2.770909091,5.278846154
3.181494662,5.94486692,2.955151515,5.259615385
3.266903915,5.954372624,3.265454545,5.211538462
3.456702254,5.97338403,3.44,5.192307692
3.674970344,5.992395437,3.692121212,5.173076923
3.798339265,5.992395437,3.808484848,5.125
3.921708185,5.992395437,3.934545455,5.115384615
4.045077106,6.001901141,4.07030303,5.105769231
4.177935943,6.001901141,4.167272727,5.105769231
4.320284698,6.011406844,4.303030303,5.105769231
4.415183867,6.020912548,4.429090909,5.105769231
4.557532622,6.030418251,4.555151515,5.134615385
4.671411625,6.039923954,4.690909091,5.125
4.823250297,6.030418251,4.807272727,5.144230769
4.975088968,6.039923954,4.923636364,5.163461538
5.164887307,6.068441065,5.059393939,5.211538462
5.259786477,6.068441065,5.185454545,5.259615385
5.364175563,6.077946768,5.301818182,5.336538462
5.46856465,6.087452471,5.418181818,5.394230769
5.667852906,6.096958175,5.553939394,5.461538462
5.810201661,6.115969582,5.631515152,5.519230769
5.952550415,6.134980989,5.709090909,5.576923077
6.09489917,6.173003802,5.776969697,5.615384615
6.275207592,6.201520913,5.864242424,5.653846154
,,5.99030303,5.711538462
,,6.096969697,5.798076923
,,6.203636364,5.865384615
,,6.32,5.923076923
,,6.436363636,6.009615385
,,6.572121212,6.125
