PS42,PS4,,PS4
logw,Gp,logw,Gpp
3.8,5.57,3.8,5.32
3.6,5.51,3.6,5.22
3.4,5.47,3.4,5.1
3.2,5.43,3.2,4.99
3,5.4,3,4.89
2.8,5.37,2.8,4.81
2.6,5.35,2.6,4.73
2.4,5.32,2.4,4.67
2.2,5.3,2.2,4.62
2,5.28,2,4.59
1.8,5.26,1.8,4.58
1.6,5.24,1.6,4.58
1.4,5.21,1.4,4.58
1.2,5.18,1.2,4.6
1,5.15,1,4.62
0.8,5.11,0.8,4.64
0.6,5.05,0.6,4.66
0.4,4.99,0.4,4.68
0.2,4.92,0.2,4.69
0,4.81,0,4.7
-0.2,4.67,-0.2,4.68
-0.4,4.47,-0.4,4.63
-0.6,4.22,-0.6,4.53
-0.8,3.91,-0.8,4.38
-1,3.57,-1,4.21
-1.2,3.21,-1.2,4.03
-1.4,2.83,-1.4,3.84
-1.6,2.43,-1.6,3.65
-1.8,2.03,-1.8,3.45
-2,1.63,-2,3.25
-2.2,1.23,-2.2,3.05
