logw,Gp,logw,Gpp,PS42,PS4,,PS4,logw,Gp,logw,Gpp,logw,Gp,logw,Gpp
3.8,5.57,3.8,5.32,3.8,5.57,3.8,5.32,3.8,5.57E+00,3.8,5.25,3.8,5.56E+00,3.8,5.3
3.6,5.5,3.6,5.23,3.6,5.51,3.6,5.22,3.6,5.51E+00,3.6,5.15,3.6,5.50E+00,3.6,5.185
3.4,5.45,3.4,5.13,3.4,5.47,3.4,5.1,3.4,5.45E+00,3.4,5.04,3.4,5.45E+00,3.4,5.075
3.2,5.41,3.2,5.04,3.2,5.43,3.2,4.99,3.2,5.42E+00,3.2,4.93,3.2,5.41E+00,3.2,4.96
3,5.36,3,4.96,3,5.4,3,4.89,3,5.39E+00,3,4.81,3,5.385,3,4.84
2.8,5.32,2.8,4.91,2.8,5.37,2.8,4.81,2.8,5.36,2.8,4.69,2.8,5.36,2.8,4.72
2.6,5.27,2.6,4.87,2.6,5.35,2.6,4.73,2.6,5.35,2.6,4.59,2.6,5.355,2.6,4.585
2.4,5.23,2.4,4.85,2.4,5.32,2.4,4.67,2.4,5.34,2.4,4.49,2.4,5.345,2.4,4.46
2.2,5.18,2.2,4.82,2.2,5.3,2.2,4.62,2.2,5.32,2.2,4.41,2.2,5.34,2.2,4.33
2,5.14,2,4.81,2,5.28,2,4.59,2,5.31,2,4.34,2,5.335,2,4.22
1.8,5.08,1.8,4.8,1.8,5.26,1.8,4.58,1.8,5.3,1.8,4.29,1.8,5.33,1.8,4.125
1.6,5.01,1.6,4.8,1.6,5.24,1.6,4.58,1.6,5.29,1.6,4.26,1.6,5.32,1.6,4.05
1.4,4.92,1.4,4.8,1.4,5.21,1.4,4.58,1.4,5.27,1.4,4.26,1.4,5.32,1.4,3.995
1.2,4.79,1.2,4.78,1.2,5.18,1.2,4.6,1.2,5.26,1.2,4.27,1.2,5.32,1.2,3.96
1,4.61,1,4.75,1,5.15,1,4.62,1,5.24,1,4.29,1,5.315,1,3.95
0.8,4.38,0.8,4.67,0.8,5.11,0.8,4.64,0.8,5.23,0.8,4.33,0.8,5.31,0.8,3.955
0.6,4.1,0.6,4.54,0.6,5.05,0.6,4.66,0.6,5.21,0.6,4.37,0.6,5.305,0.6,3.965
0.4,3.74,0.4,4.37,0.4,4.99,0.4,4.68,0.4,5.19,0.4,4.41,0.4,5.3,0.4,3.985
0.2,3.34,0.2,4.19,0.2,4.92,0.2,4.69,0.2,5.17,0.2,4.45,0.2,5.3,0.2,4.02
0,2.94,0,3.99,0,4.81,0,4.7,0,5.15,0,4.48,0,5.295,0,4.05
-0.2,2.54,-0.2,3.79,-0.2,4.67,-0.2,4.68,-0.2,5.12,-0.2,4.51,-0.2,5.285,-0.2,4.095
-0.4,2.14,-0.4,3.59,-0.4,4.47,-0.4,4.63,-0.4,5.09,-0.4,4.53,-0.4,5.28,-0.4,4.14
-0.6,1.74,-0.6,3.39,-0.6,4.22,-0.6,4.53,-0.6,5.05,-0.6,4.56,-0.6,5.265,-0.6,4.185
,,,,-0.8,3.91,-0.8,4.38,-0.8,5.01,-0.8,4.59,-0.8,5.26,-0.8,4.23
,,,,-1,3.57,-1,4.21,-1,4.96,-1,4.61,-1,5.245,-1,4.275
,,,,-1.2,3.21,-1.2,4.03,-1.2,4.89,-1.2,4.64,-1.2,5.235,-1.2,4.32
,,,,-1.4,2.83,-1.4,3.84,-1.4,4.8,-1.4,4.66,-1.4,5.22,-1.4,4.36
,,,,-1.6,2.43,-1.6,3.65,-1.6,4.67,-1.6,4.66,-1.6,5.2,-1.6,4.4
,,,,-1.8,2.03,-1.8,3.45,-1.8,4.48,-1.8,4.63,-1.8,5.18,-1.8,4.435
,,,,-2,1.63,-2,3.25,-2,4.23,-2,4.54,-2,5.16,-2,4.475
,,,,-2.2,1.23,-2.2,3.05,-2.2,3.93,-2.2,4.4,-2.2,5.125,-2.2,4.51
,,,,,,,,-2.4,3.6,-2.4,4.23,-2.4,5.09,-2.4,4.55
,,,,,,,,-2.6,3.24,-2.6,4.05,-2.6,5.05,-2.6,4.58
,,,,,,,,-2.8,2.87,-2.8,3.86,-2.8,4.995,-2.8,4.62
,,,,,,,,-3,2.47,-3,3.66,-3,4.92,-3,4.66
,,,,,,,,-3.2,2.07,-3.2,3.46,-3.2,4.84,-3.2,4.67
,,,,,,,,,,,,-3.4,4.715,-3.4,4.66
,,,,,,,,,,,,-3.6,4.55,-3.6,4.62
,,,,,,,,,,,,-3.8,4.34,-3.8,4.54
,,,,,,,,,,,,-4,4.08,-4,4.415
,,,,,,,,,,,,-4.2,3.75,-4.2,4.26
,,,,,,,,,,,,-4.4,3.38,-4.4,4.06
,,,,,,,,,,,,-4.6,3,-4.6,3.87
,,,,,,,,,,,,-4.8,2.6,-4.8,3.66
